Date,Location,Number_of_Visitors
2019-05-21 12:53:23.206412826,Kimberley Museum,3172
2019-05-21 12:53:23.206412826,McGregor Museum,2554
2019-05-21 12:53:23.206412826,William Humphreys Art Gallery,6890
2019-05-21 12:53:23.206412826,Magersfontein Battlefield,6062
2019-05-21 12:53:23.206412826,Ghost Tours & Historical Walks,4995
2019-05-24 11:09:29.939879760,Kimberley Museum,5860
2019-05-24 11:09:29.939879760,McGregor Museum,5129
2019-05-24 11:09:29.939879760,William Humphreys Art Gallery,3149
2019-05-24 11:09:29.939879760,Magersfontein Battlefield,5441
2019-05-24 11:09:29.939879760,Ghost Tours & Historical Walks,2741
2019-05-27 09:25:36.673346694,Kimberley Museum,2308
2019-05-27 09:25:36.673346694,McGregor Museum,4676
2019-05-27 09:25:36.673346694,William Humphreys Art Gallery,6369
2019-05-27 09:25:36.673346694,Magersfontein Battlefield,3153
2019-05-27 09:25:36.673346694,Ghost Tours & Historical Walks,5247
2019-05-30 07:41:43.406813628,Kimberley Museum,4718
2019-05-30 07:41:43.406813628,McGregor Museum,4318
2019-05-30 07:41:43.406813628,William Humphreys Art Gallery,7348
2019-05-30 07:41:43.406813628,Magersfontein Battlefield,6946
2019-05-30 07:41:43.406813628,Ghost Tours & Historical Walks,5090
2019-06-02 05:57:50.140280562,Kimberley Museum,5698
2019-06-02 05:57:50.140280562,McGregor Museum,4293
2019-06-02 05:57:50.140280562,William Humphreys Art Gallery,3380
2019-06-02 05:57:50.140280562,Magersfontein Battlefield,7138
2019-06-02 05:57:50.140280562,Ghost Tours & Historical Walks,4470
2019-06-05 04:13:56.873747496,Kimberley Museum,6168
2019-06-05 04:13:56.873747496,McGregor Museum,1942
2019-06-05 04:13:56.873747496,William Humphreys Art Gallery,5925
2019-06-05 04:13:56.873747496,Magersfontein Battlefield,6301
2019-06-05 04:13:56.873747496,Ghost Tours & Historical Walks,5411
2019-06-08 02:30:03.607214430,Kimberley Museum,5814
2019-06-08 02:30:03.607214430,McGregor Museum,4642
2019-06-08 02:30:03.607214430,William Humphreys Art Gallery,3747
2019-06-08 02:30:03.607214430,Magersfontein Battlefield,4529
2019-06-08 02:30:03.607214430,Ghost Tours & Historical Walks,4999
2019-06-11 00:46:10.340681364,Kimberley Museum,4498
2019-06-11 00:46:10.340681364,McGregor Museum,3259
2019-06-11 00:46:10.340681364,William Humphreys Art Gallery,4632
2019-06-11 00:46:10.340681364,Magersfontein Battlefield,3037
2019-06-11 00:46:10.340681364,Ghost Tours & Historical Walks,3208
2019-06-13 23:02:17.074148296,Kimberley Museum,2153
2019-06-13 23:02:17.074148296,McGregor Museum,6714
2019-06-13 23:02:17.074148296,William Humphreys Art Gallery,4220
2019-06-13 23:02:17.074148296,Magersfontein Battlefield,5450
2019-06-13 23:02:17.074148296,Ghost Tours & Historical Walks,6737
2019-06-16 21:18:23.807615230,Kimberley Museum,4774
2019-06-16 21:18:23.807615230,McGregor Museum,8223
2019-06-16 21:18:23.807615230,William Humphreys Art Gallery,2963
2019-06-16 21:18:23.807615230,Magersfontein Battlefield,3429
2019-06-16 21:18:23.807615230,Ghost Tours & Historical Walks,6883
2019-06-19 19:34:30.541082164,Kimberley Museum,3388
2019-06-19 19:34:30.541082164,McGregor Museum,5761
2019-06-19 19:34:30.541082164,William Humphreys Art Gallery,4404
2019-06-19 19:34:30.541082164,Magersfontein Battlefield,4336
2019-06-19 19:34:30.541082164,Ghost Tours & Historical Walks,4435
2019-06-22 17:50:37.274549098,Kimberley Museum,5364
2019-06-22 17:50:37.274549098,McGregor Museum,7887
2019-06-22 17:50:37.274549098,William Humphreys Art Gallery,4765
2019-06-22 17:50:37.274549098,Magersfontein Battlefield,3344
2019-06-22 17:50:37.274549098,Ghost Tours & Historical Walks,6799
2019-06-25 16:06:44.008016032,Kimberley Museum,3865
2019-06-25 16:06:44.008016032,McGregor Museum,7414
2019-06-25 16:06:44.008016032,William Humphreys Art Gallery,6104
2019-06-25 16:06:44.008016032,Magersfontein Battlefield,8587
2019-06-25 16:06:44.008016032,Ghost Tours & Historical Walks,4812
2019-06-28 14:22:50.741482966,Kimberley Museum,2543
2019-06-28 14:22:50.741482966,McGregor Museum,1848
2019-06-28 14:22:50.741482966,William Humphreys Art Gallery,6683
2019-06-28 14:22:50.741482966,Magersfontein Battlefield,3804
2019-06-28 14:22:50.741482966,Ghost Tours & Historical Walks,2767
2019-07-01 12:38:57.474949900,Kimberley Museum,5094
2019-07-01 12:38:57.474949900,McGregor Museum,4576
2019-07-01 12:38:57.474949900,William Humphreys Art Gallery,7146
2019-07-01 12:38:57.474949900,Magersfontein Battlefield,5325
2019-07-01 12:38:57.474949900,Ghost Tours & Historical Walks,4903
2019-07-04 10:55:04.208416834,Kimberley Museum,4142
2019-07-04 10:55:04.208416834,McGregor Museum,4500
2019-07-04 10:55:04.208416834,William Humphreys Art Gallery,1903
2019-07-04 10:55:04.208416834,Magersfontein Battlefield,5156
2019-07-04 10:55:04.208416834,Ghost Tours & Historical Walks,7554
2019-07-07 09:11:10.941883768,Kimberley Museum,4546
2019-07-07 09:11:10.941883768,McGregor Museum,6666
2019-07-07 09:11:10.941883768,William Humphreys Art Gallery,2990
2019-07-07 09:11:10.941883768,Magersfontein Battlefield,6945
2019-07-07 09:11:10.941883768,Ghost Tours & Historical Walks,4816
2019-07-10 07:27:17.675350702,Kimberley Museum,4423
2019-07-10 07:27:17.675350702,McGregor Museum,3081
2019-07-10 07:27:17.675350702,William Humphreys Art Gallery,3968
2019-07-10 07:27:17.675350702,Magersfontein Battlefield,4711
2019-07-10 07:27:17.675350702,Ghost Tours & Historical Walks,5715
2019-07-13 05:43:24.408817636,Kimberley Museum,3638
2019-07-13 05:43:24.408817636,McGregor Museum,3653
2019-07-13 05:43:24.408817636,William Humphreys Art Gallery,3644
2019-07-13 05:43:24.408817636,Magersfontein Battlefield,7243
2019-07-13 05:43:24.408817636,Ghost Tours & Historical Walks,3361
2019-07-16 03:59:31.142284570,Kimberley Museum,4909
2019-07-16 03:59:31.142284570,McGregor Museum,2839
2019-07-16 03:59:31.142284570,William Humphreys Art Gallery,5759
2019-07-16 03:59:31.142284570,Magersfontein Battlefield,5238
2019-07-16 03:59:31.142284570,Ghost Tours & Historical Walks,5231
2019-07-19 02:15:37.875751504,Kimberley Museum,5999
2019-07-19 02:15:37.875751504,McGregor Museum,5449
2019-07-19 02:15:37.875751504,William Humphreys Art Gallery,5170
2019-07-19 02:15:37.875751504,Magersfontein Battlefield,4198
2019-07-19 02:15:37.875751504,Ghost Tours & Historical Walks,5004
2019-07-22 00:31:44.609218438,Kimberley Museum,5118
2019-07-22 00:31:44.609218438,McGregor Museum,4178
2019-07-22 00:31:44.609218438,William Humphreys Art Gallery,7446
2019-07-22 00:31:44.609218438,Magersfontein Battlefield,4007
2019-07-22 00:31:44.609218438,Ghost Tours & Historical Walks,6372
2019-07-24 22:47:51.342685372,Kimberley Museum,4063
2019-07-24 22:47:51.342685372,McGregor Museum,3878
2019-07-24 22:47:51.342685372,William Humphreys Art Gallery,4354
2019-07-24 22:47:51.342685372,Magersfontein Battlefield,7983
2019-07-24 22:47:51.342685372,Ghost Tours & Historical Walks,4548
2019-07-27 21:03:58.076152306,Kimberley Museum,6509
2019-07-27 21:03:58.076152306,McGregor Museum,5034
2019-07-27 21:03:58.076152306,William Humphreys Art Gallery,4732
2019-07-27 21:03:58.076152306,Magersfontein Battlefield,5879
2019-07-27 21:03:58.076152306,Ghost Tours & Historical Walks,2972
2019-07-30 19:20:04.809619240,Kimberley Museum,5189
2019-07-30 19:20:04.809619240,McGregor Museum,3433
2019-07-30 19:20:04.809619240,William Humphreys Art Gallery,6213
2019-07-30 19:20:04.809619240,Magersfontein Battlefield,5338
2019-07-30 19:20:04.809619240,Ghost Tours & Historical Walks,4597
2019-08-02 17:36:11.543086172,Kimberley Museum,6996
2019-08-02 17:36:11.543086172,McGregor Museum,4772
2019-08-02 17:36:11.543086172,William Humphreys Art Gallery,2870
2019-08-02 17:36:11.543086172,Magersfontein Battlefield,3683
2019-08-02 17:36:11.543086172,Ghost Tours & Historical Walks,3902
2019-08-05 15:52:18.276553108,Kimberley Museum,4331
2019-08-05 15:52:18.276553108,McGregor Museum,7095
2019-08-05 15:52:18.276553108,William Humphreys Art Gallery,6238
2019-08-05 15:52:18.276553108,Magersfontein Battlefield,6488
2019-08-05 15:52:18.276553108,Ghost Tours & Historical Walks,4408
2019-08-08 14:08:25.010020040,Kimberley Museum,4691
2019-08-08 14:08:25.010020040,McGregor Museum,4957
2019-08-08 14:08:25.010020040,William Humphreys Art Gallery,2955
2019-08-08 14:08:25.010020040,Magersfontein Battlefield,3937
2019-08-08 14:08:25.010020040,Ghost Tours & Historical Walks,7046
2019-08-11 12:24:31.743486976,Kimberley Museum,6106
2019-08-11 12:24:31.743486976,McGregor Museum,6112
2019-08-11 12:24:31.743486976,William Humphreys Art Gallery,3763
2019-08-11 12:24:31.743486976,Magersfontein Battlefield,5573
2019-08-11 12:24:31.743486976,Ghost Tours & Historical Walks,5651
2019-08-14 10:40:38.476953908,Kimberley Museum,4473
2019-08-14 10:40:38.476953908,McGregor Museum,6611
2019-08-14 10:40:38.476953908,William Humphreys Art Gallery,5225
2019-08-14 10:40:38.476953908,Magersfontein Battlefield,5669
2019-08-14 10:40:38.476953908,Ghost Tours & Historical Walks,3478
2019-08-17 08:56:45.210420844,Kimberley Museum,4969
2019-08-17 08:56:45.210420844,McGregor Museum,5779
2019-08-17 08:56:45.210420844,William Humphreys Art Gallery,5096
2019-08-17 08:56:45.210420844,Magersfontein Battlefield,3454
2019-08-17 08:56:45.210420844,Ghost Tours & Historical Walks,8785
2019-08-20 07:12:51.943887776,Kimberley Museum,4783
2019-08-20 07:12:51.943887776,McGregor Museum,6676
2019-08-20 07:12:51.943887776,William Humphreys Art Gallery,4109
2019-08-20 07:12:51.943887776,Magersfontein Battlefield,2665
2019-08-20 07:12:51.943887776,Ghost Tours & Historical Walks,5817
2019-08-23 05:28:58.677354712,Kimberley Museum,6546
2019-08-23 05:28:58.677354712,McGregor Museum,7324
2019-08-23 05:28:58.677354712,William Humphreys Art Gallery,3901
2019-08-23 05:28:58.677354712,Magersfontein Battlefield,3831
2019-08-23 05:28:58.677354712,Ghost Tours & Historical Walks,2090
2019-08-26 03:45:05.410821644,Kimberley Museum,4510
2019-08-26 03:45:05.410821644,McGregor Museum,6380
2019-08-26 03:45:05.410821644,William Humphreys Art Gallery,4942
2019-08-26 03:45:05.410821644,Magersfontein Battlefield,2230
2019-08-26 03:45:05.410821644,Ghost Tours & Historical Walks,4422
2019-08-29 02:01:12.144288576,Kimberley Museum,4006
2019-08-29 02:01:12.144288576,McGregor Museum,2462
2019-08-29 02:01:12.144288576,William Humphreys Art Gallery,3550
2019-08-29 02:01:12.144288576,Magersfontein Battlefield,7383
2019-08-29 02:01:12.144288576,Ghost Tours & Historical Walks,6466
2019-09-01 00:17:18.877755512,Kimberley Museum,7119
2019-09-01 00:17:18.877755512,McGregor Museum,2916
2019-09-01 00:17:18.877755512,William Humphreys Art Gallery,4138
2019-09-01 00:17:18.877755512,Magersfontein Battlefield,3106
2019-09-01 00:17:18.877755512,Ghost Tours & Historical Walks,4885
2019-09-03 22:33:25.611222444,Kimberley Museum,5371
2019-09-03 22:33:25.611222444,McGregor Museum,4191
2019-09-03 22:33:25.611222444,William Humphreys Art Gallery,6725
2019-09-03 22:33:25.611222444,Magersfontein Battlefield,4674
2019-09-03 22:33:25.611222444,Ghost Tours & Historical Walks,5201
2019-09-06 20:49:32.344689380,Kimberley Museum,5443
2019-09-06 20:49:32.344689380,McGregor Museum,5279
2019-09-06 20:49:32.344689380,William Humphreys Art Gallery,3658
2019-09-06 20:49:32.344689380,Magersfontein Battlefield,2977
2019-09-06 20:49:32.344689380,Ghost Tours & Historical Walks,4783
2019-09-09 19:05:39.078156312,Kimberley Museum,4118
2019-09-09 19:05:39.078156312,McGregor Museum,4737
2019-09-09 19:05:39.078156312,William Humphreys Art Gallery,7069
2019-09-09 19:05:39.078156312,Magersfontein Battlefield,4661
2019-09-09 19:05:39.078156312,Ghost Tours & Historical Walks,5191
2019-09-12 17:21:45.811623248,Kimberley Museum,5484
2019-09-12 17:21:45.811623248,McGregor Museum,3250
2019-09-12 17:21:45.811623248,William Humphreys Art Gallery,2466
2019-09-12 17:21:45.811623248,Magersfontein Battlefield,5680
2019-09-12 17:21:45.811623248,Ghost Tours & Historical Walks,6613
2019-09-15 15:37:52.545090180,Kimberley Museum,3869
2019-09-15 15:37:52.545090180,McGregor Museum,5775
2019-09-15 15:37:52.545090180,William Humphreys Art Gallery,4177
2019-09-15 15:37:52.545090180,Magersfontein Battlefield,3432
